id,name,in_structure,out_structure
ug_route/159355,OSP:BUSP:C258662,st_struct_pedestal/67013,st_struct_pedestal/66847
ug_route/159356,OSP:FBSP::8079187,mywcom_route_junction/20853,st_struct_pedestal/66878
ug_route/159357,OSP:BUSP:C258632,st_struct_pedestal/66847,st_struct_pedestal/67013
ug_route/159358,OSP:FBSP::8705766,st_struct_pedestal/66930,st_struct_pedestal/66889
ug_route/159359,OSP:BUSP::8557267,mywcom_route_junction/20842,st_struct_pedestal/66866
ug_route/159360,OSP:BUSP::12736592,st_struct_pedestal/66962,st_struct_pedestal/66938
ug_route/159361,OSP:FBSP::8705768,st_struct_pedestal/66919,st_struct_pedestal/66934
ug_route/159362,OSP:FORSP::14391642,mywcom_route_junction/20831,st_struct_pedestal/66852
ug_route/159363,OSP:BUSP:C263024,mywcom_route_junction/20875,st_struct_pedestal/66951
ug_route/159364,OSP:BUSP::17046085,cabinet/2410,st_struct_pedestal/66861
ug_route/159365,OSP:FBSP:C270551,mywcom_route_junction/20830,st_struct_pedestal/66883
ug_route/159366,OSP:FBSP:C262727,st_struct_pedestal/67019,mywcom_route_junction/20830
ug_route/159367,OSP:BUSP:C258795,st_struct_pedestal/66918,st_struct_pedestal/66827
ug_route/159368,OSP:BUSP::13344571,mywcom_route_junction/20826,building/48685
ug_route/159369,OSP:FBSP:C257051,st_struct_pedestal/66884,st_struct_pedestal/67023
ug_route/159370,OSP:BUSP:C258798,st_struct_pedestal/66827,st_struct_pedestal/66918
ug_route/159371,OSP:BUSP::12358977,st_struct_pedestal/66882,st_struct_pedestal/66937
ug_route/159372,OSP:FORSP::7414858,st_struct_vault/2413,building/48699
ug_route/159373,OSP:FBSP:C254651,st_struct_pedestal/66916,st_struct_pedestal/66983
ug_route/159374,OSP:BUSP::12358440,st_struct_pedestal/66960,st_struct_pedestal/66869
ug_route/159375,OSP:FBSP:C322209,st_struct_pedestal/66957,st_struct_pedestal/66989
ug_route/159376,OSP:BUSP::12776315,st_struct_pedestal/66827,st_struct_pedestal/66918
ug_route/159377,OSP:FBSP:C263895,mywcom_route_junction/20832,building/48685
ug_route/159378,OSP:FBSP:C262584,st_struct_pedestal/66879,st_struct_pedestal/66846
ug_route/159379,OSP:BUSP::12358649,st_struct_pedestal/67019,mywcom_route_junction/20806
ug_route/159380,OSP:BUSP::12733695,st_struct_pedestal/66987,st_struct_pedestal/66998
ug_route/159381,OSP:FBSP:C267528,st_struct_pedestal/66971,st_struct_pedestal/66891
ug_route/159382,OSP:FBSP:C256801,st_struct_pedestal/66976,st_struct_pedestal/66876
ug_route/159383,OSP:FBSP:C259064,st_struct_pedestal/66817,st_struct_pedestal/66829
ug_route/159384,OSP:BUSP::12807926,mywcom_route_junction/20819,st_struct_pedestal/67003
ug_route/159385,OSP:BUSP::12358010,st_struct_pedestal/66967,mywcom_route_junction/20866
ug_route/159386,OSP:FBSP:C298753,st_struct_pedestal/67000,st_struct_pedestal/66959
ug_route/159387,OSP:FBSP:C257495,st_struct_pedestal/67002,st_struct_pedestal/66981
ug_route/159388,OSP:BUSP::12359003,st_struct_pedestal/66916,st_struct_pedestal/66983
ug_route/159389,OSP:BUSP::12358404,st_struct_pedestal/67003,st_struct_pedestal/66985
ug_route/159390,OSP:FBSP:C251913,st_struct_pedestal/66865,st_struct_pedestal/66831
ug_route/159391,OSP:FBSP:C263557,st_struct_pedestal/66851,st_struct_pedestal/66826
ug_route/159392,OSP:BUSP::12358344,st_struct_pedestal/66976,st_struct_pedestal/66876
ug_route/159393,OSP:BUSP::12358998,st_struct_pedestal/66879,st_struct_pedestal/66846
ug_route/159394,OSP:FBSP:C257489,st_struct_pedestal/66981,st_struct_pedestal/66923
ug_route/159395,OSP:FBSP:C258538,st_struct_pedestal/66881,st_struct_pedestal/66862
ug_route/159396,OSP:BUSP::12358368,mywcom_route_junction/20837,st_struct_pedestal/67020
ug_route/159397,OSP:FBSP:C298828,st_struct_pedestal/66967,mywcom_route_junction/20818
ug_route/159398,OSP:FBSP:C226074,st_struct_pedestal/66899,st_struct_pedestal/66926
ug_route/159399,OSP:BUSP::12358356,st_struct_pedestal/66817,st_struct_pedestal/66829
ug_route/159400,OSP:BUSP::12358142,st_struct_pedestal/66989,st_struct_pedestal/66957
ug_route/159401,OSP:FBSP:C322203,st_struct_pedestal/66946,st_struct_pedestal/66971
ug_route/159402,OSP:FBSP:C263598,st_struct_pedestal/67015,st_struct_pedestal/66977
ug_route/159403,OSP:BUSP::12358431,st_struct_pedestal/66959,st_struct_pedestal/67000
ug_route/159404,OSP:BUSP::12807930,st_struct_pedestal/67023,mywcom_route_junction/20856
ug_route/159405,OSP:FBSP:C259313,mywcom_route_junction/20847,st_struct_pedestal/67020
ug_route/159406,OSP:FBSP:C258542,st_struct_pedestal/66862,st_struct_pedestal/66948
ug_route/159407,OSP:FBSP:C262580,st_struct_pedestal/66846,st_struct_pedestal/66915
ug_route/159408,OSP:FBSP:C264018,st_struct_pedestal/66922,st_struct_pedestal/66920
ug_route/159409,OSP:BUSP::12358353,st_struct_pedestal/66865,st_struct_pedestal/66831
ug_route/159410,OSP:FBSP:C263453,st_struct_pedestal/67007,st_struct_pedestal/66864
ug_route/159411,OSP:BUSP::12358408,st_struct_pedestal/66901,st_struct_pedestal/66952
ug_route/159412,OSP:FBSP:C254663,st_struct_pedestal/66983,st_struct_pedestal/66872
ug_route/159413,OSP:BUSP::12358182,st_struct_pedestal/66977,st_struct_pedestal/67015
ug_route/159414,OSP:FBSP:C254564,st_struct_pedestal/66988,st_struct_pedestal/66990
ug_route/159415,OSP:BUSP:C257613,st_struct_pedestal/66842,st_struct_pedestal/66825
ug_route/159416,OSP:BUSP::12358657,st_struct_pedestal/66981,st_struct_pedestal/66923
ug_route/159417,OSP:BUSP::12358052,st_struct_pedestal/66851,st_struct_pedestal/66826
ug_route/159418,OSP:FBSP:C257124,st_struct_pedestal/66831,st_struct_pedestal/66849
ug_route/159419,OSP:BUSP::16087052,st_struct_pedestal/66980,st_struct_vault/2406
ug_route/159420,OSP:BUSP::12358138,st_struct_pedestal/66899,st_struct_pedestal/66926
ug_route/159421,OSP:FBSP:C262601,st_struct_pedestal/66917,st_struct_pedestal/66931
ug_route/159422,OSP:BUSP::12730809,st_struct_pedestal/66975,mywcom_route_junction/20865
ug_route/159423,OSP:BUSP::8444313,cabinet/2407,st_struct_pedestal/67022
ug_route/159424,OSP:FBSP:C258680,st_struct_pedestal/66912,st_struct_pedestal/66859
ug_route/159425,OSP:FBSP:C264026,st_struct_pedestal/66920,st_struct_pedestal/66964
ug_route/159426,OSP:FBSP:C262684,st_struct_pedestal/66883,st_struct_pedestal/66984
ug_route/159427,OSP:FBSP:C259104,st_struct_pedestal/66935,st_struct_pedestal/66901
ug_route/159428,OSP:FBSP:C254449,mywcom_route_junction/20857,st_struct_pedestal/66869
ug_route/159429,OSP:BUSP::12358442,st_struct_pedestal/66988,st_struct_pedestal/66990
ug_route/159430,OSP:BUSP::12358999,st_struct_pedestal/66846,st_struct_pedestal/66915
ug_route/159431,OSP:BUSP::12358145,st_struct_pedestal/66920,st_struct_pedestal/66922
ug_route/159432,OSP:FBSP:C263565,st_struct_pedestal/66826,st_struct_pedestal/66816
