id,name,in_structure,out_structure
ug_route/165034,OSP:FORSP::16960901,st_struct_vault/2467,st_struct_pedestal/69980
ug_route/165035,OSP:BUSP::16693374,mywcom_route_junction/21803,st_struct_pedestal/70780
ug_route/165036,OSP:BUSP::12785895,st_struct_pedestal/70209,st_struct_pedestal/70498
ug_route/165037,OSP:FBSP:C656025,pole/41128,building/49220
ug_route/165038,OSP:BUSP:C658581,st_struct_pedestal/69009,st_struct_pedestal/69409
ug_route/165039,OSP:BUSP::14956731,st_struct_pedestal/67672,st_struct_pedestal/69816
ug_route/165040,OSP:FBSP::8572948,st_struct_pedestal/69369,st_struct_pedestal/67854
ug_route/165041,OSP:BUSP:C651807,st_struct_pedestal/67124,building/48748
ug_route/165042,OSP:BUSP::10271230,st_struct_pedestal/68509,st_struct_pedestal/70802
ug_route/165043,OSP:BUSP:C667243,mywcom_route_junction/20950,pole/40731
ug_route/165044,OSP:BUSP::13713877,pole/41128,building/49220
ug_route/165045,OSP:FBSP:C670056,st_struct_pedestal/69841,building/48994
ug_route/165046,OSP:BUSP:C662211,st_struct_pedestal/69684,st_struct_pedestal/70441
ug_route/165047,OSP:BUSP:C663099,pole/42432,st_struct_pedestal/69083
ug_route/165048,OSP:BUSP:C661633,st_struct_pedestal/69041,building/51407
ug_route/165049,OSP:FBSP::13094976,st_struct_pedestal/67247,st_struct_pedestal/68147
ug_route/165050,OSP:FORSP::16956652,st_struct_vault/2491,st_struct_vault/2417
ug_route/165051,OSP:BUSP:C681427,st_struct_pedestal/69308,building/50221
ug_route/165052,OSP:BUSP:C658583,st_struct_pedestal/69009,st_struct_pedestal/69409
ug_route/165053,OSP:FBSP:C654208,st_struct_pedestal/68753,building/50350
ug_route/165054,OSP:BUSP:C653292,st_struct_pedestal/67748,st_struct_pedestal/67189
ug_route/165055,OSP:FBSP::8499682,st_struct_pedestal/70298,building/49363
ug_route/165056,OSP:BUSP::10271232,st_struct_pedestal/68509,st_struct_pedestal/70802
ug_route/165057,OSP:BUSP:C656291,st_struct_pedestal/70782,st_struct_pedestal/68468
ug_route/165058,OSP:BUSP:C652565,st_struct_pedestal/67549,st_struct_pedestal/70820
ug_route/165059,OSP:BUSP::16059132,st_struct_pedestal/68753,building/50350
ug_route/165060,OSP:BUSP::10069947,st_struct_vault/2468,st_struct_pedestal/69633
ug_route/165061,OSP:BUSP:C707665,st_struct_pedestal/69590,mywcom_route_junction/21282
ug_route/165062,OSP:BUSP:C705103,st_struct_pedestal/70410,building/51253
ug_route/165063,OSP:BUSP:C668677,st_struct_pedestal/69147,building/51055
ug_route/165064,OSP:BUSP:C649701,st_struct_pedestal/68300,building/49628
ug_route/165065,OSP:BUSP::8400464,pole/42167,st_struct_pedestal/68487
ug_route/165066,OSP:FBSP:C659922,st_struct_pedestal/67607,building/49927
ug_route/165067,OSP:FBSP:C661333,st_struct_pedestal/70237,building/50402
ug_route/165068,OSP:BUSP:C648533,st_struct_pedestal/68324,pole/41284
ug_route/165069,OSP:BUSP:C707906,st_struct_pedestal/70149,building/49408
ug_route/165070,OSP:BUSP::8437274,pole/41421,pole/42623
ug_route/165071,OSP:BUSP:C643916,st_struct_pedestal/67233,st_struct_pedestal/69134
ug_route/165072,OSP:BUSP:C652850,pole/40803,pole/42149
ug_route/165073,OSP:BUSP:C646137,st_struct_pedestal/70043,building/50453
ug_route/165074,OSP:BUSP:C639427,st_struct_pedestal/70580,st_struct_pedestal/70788
ug_route/165075,OSP:BUSP:C660978,st_struct_pedestal/68057,st_struct_pedestal/68775
ug_route/165076,OSP:BUSP::16681874,st_struct_pedestal/68716,building/50111
ug_route/165077,OSP:BUSP:C643985,st_struct_pedestal/67936,st_struct_pedestal/70650
ug_route/165078,OSP:FBSP::13095316,pole/41799,building/50460
ug_route/165079,OSP:BUSP:C661617,st_struct_pedestal/67491,st_struct_pedestal/68915
ug_route/165080,OSP:BUSP:C643964,st_struct_pedestal/67233,st_struct_pedestal/67936
ug_route/165081,OSP:BUSP:C659636,st_struct_pedestal/67721,building/49582
